trial_index,subject,age,gender,lextale,rt,valence,condition,practice,acc,ctest
1,1,49,F,100,11276,negative,abstract,no,1,36
2,1,49,F,100,9339,negative,concrete,no,1,36
3,1,49,F,100,7311,positive,concrete,no,1,36
4,1,49,F,100,10982,negative,abstract,no,1,36
5,1,49,F,100,7788,negative,abstract,no,1,36
6,1,49,F,100,14801,positive,abstract,no,1,36
7,1,49,F,100,6707,positive,concrete,no,1,36
8,1,49,F,100,6661,positive,concrete,no,1,36
9,1,49,F,100,7550,negative,abstract,no,1,36
10,1,49,F,100,7098,positive,abstract,no,1,36
11,1,49,F,100,9551,positive,abstract,no,1,36
12,1,49,F,100,6003,negative,concrete,no,1,36
13,1,49,F,100,5189,positive,concrete,no,1,36
14,1,49,F,100,8918,positive,abstract,no,1,36
15,1,49,F,100,12288,negative,concrete,no,1,36
16,1,49,F,100,8561,negative,concrete,no,0,36
17,1,49,F,100,8120,negative,abstract,no,1,36
18,1,49,F,100,7614,negative,concrete,no,1,36
19,1,49,F,100,7741,positive,concrete,no,1,36
20,1,49,F,100,12321,positive,abstract,no,1,36
1,2,55,F,97.5,10071,positive,abstract,no,1,11
2,2,55,F,97.5,7703,positive,abstract,no,0,11
3,2,55,F,97.5,7143,positive,concrete,no,1,11
4,2,55,F,97.5,7511,negative,abstract,no,0,11
5,2,55,F,97.5,5912,positive,abstract,no,0,11
6,2,55,F,97.5,5943,negative,concrete,no,1,11
7,2,55,F,97.5,7631,negative,abstract,no,1,11
8,2,55,F,97.5,6831,negative,abstract,no,0,11
9,2,55,F,97.5,6175,positive,abstract,no,0,11
10,2,55,F,97.5,6182,negative,concrete,no,1,11
11,2,55,F,97.5,5112,positive,abstract,no,0,11
12,2,55,F,97.5,4247,positive,concrete,no,1,11
13,2,55,F,97.5,3831,negative,concrete,no,1,11
14,2,55,F,97.5,6007,negative,abstract,no,0,11
15,2,55,F,97.5,9175,negative,concrete,no,1,11
16,2,55,F,97.5,3983,positive,concrete,no,1,11
17,2,55,F,97.5,4024,positive,concrete,no,1,11
18,2,55,F,97.5,7183,negative,concrete,no,1,11
19,2,55,F,97.5,6223,negative,abstract,no,1,11
20,2,55,F,97.5,3151,positive,concrete,no,1,11
1,3,44,M,82.5,14907,positive,abstract,no,0,31
2,3,44,M,82.5,6986,positive,concrete,no,1,31
3,3,44,M,82.5,12477,positive,abstract,no,1,31
4,3,44,M,82.5,12589,positive,concrete,no,1,31
5,3,44,M,82.5,10232,positive,abstract,no,0,31
7,3,44,M,82.5,7694,negative,abstract,no,1,31
8,3,44,M,82.5,7904,negative,abstract,no,0,31
9,3,44,M,82.5,9626,negative,concrete,no,1,31
10,3,44,M,82.5,5687,negative,abstract,no,1,31
11,3,44,M,82.5,9313,negative,concrete,no,1,31
12,3,44,M,82.5,9044,negative,concrete,no,1,31
13,3,44,M,82.5,10889,positive,concrete,no,1,31
14,3,44,M,82.5,5511,positive,concrete,no,1,31
15,3,44,M,82.5,17770,positive,concrete,no,1,31
16,3,44,M,82.5,5944,negative,abstract,no,1,31
17,3,44,M,82.5,7680,negative,abstract,no,1,31
18,3,44,M,82.5,8768,negative,concrete,no,1,31
19,3,44,M,82.5,7858,positive,abstract,no,0,31
1,4,34,M,100,11290,positive,abstract,no,0,40
3,4,34,M,100,14675,positive,abstract,no,1,40
4,4,34,M,100,9699,negative,concrete,no,1,40
5,4,34,M,100,8663,positive,abstract,no,0,40
6,4,34,M,100,13355,negative,concrete,no,0,40
7,4,34,M,100,9383,positive,abstract,no,1,40
8,4,34,M,100,12155,positive,concrete,no,1,40
9,4,34,M,100,9523,negative,abstract,no,1,40
10,4,34,M,100,10948,negative,concrete,no,1,40
11,4,34,M,100,7403,negative,abstract,no,1,40
12,4,34,M,100,4435,negative,abstract,no,1,40
13,4,34,M,100,12436,positive,concrete,no,0,40
14,4,34,M,100,7963,negative,concrete,no,1,40
15,4,34,M,100,5119,positive,concrete,no,1,40
16,4,34,M,100,4411,positive,concrete,no,1,40
17,4,34,M,100,6775,positive,concrete,no,1,40
18,4,34,M,100,8087,negative,abstract,no,1,40
19,4,34,M,100,6527,negative,concrete,no,1,40
20,4,34,M,100,8511,negative,abstract,no,1,40
1,5,40,M,97.5,16600,positive,abstract,no,1,30
2,5,40,M,97.5,11040,negative,abstract,no,1,30
3,5,40,M,97.5,8183,negative,concrete,no,1,30
4,5,40,M,97.5,9464,negative,concrete,no,1,30
5,5,40,M,97.5,5776,negative,abstract,no,1,30
6,5,40,M,97.5,15280,positive,abstract,no,1,30
7,5,40,M,97.5,8608,negative,abstract,no,1,30
8,5,40,M,97.5,8184,negative,abstract,no,0,30
10,5,40,M,97.5,8016,positive,abstract,no,1,30
11,5,40,M,97.5,4832,negative,abstract,no,1,30
12,5,40,M,97.5,8951,positive,concrete,no,1,30
13,5,40,M,97.5,6575,positive,abstract,no,1,30
14,5,40,M,97.5,11096,negative,concrete,no,1,30
15,5,40,M,97.5,3584,positive,concrete,no,1,30
16,5,40,M,97.5,6120,positive,concrete,no,1,30
17,5,40,M,97.5,7151,positive,concrete,no,1,30
18,5,40,M,97.5,3560,negative,concrete,no,1,30
19,5,40,M,97.5,5928,positive,concrete,no,1,30
20,5,40,M,97.5,3776,negative,concrete,no,1,30
1,6,47,F,97.5,4395,negative,concrete,no,1,31
2,6,47,F,97.5,4942,negative,abstract,no,1,31
3,6,47,F,97.5,5133,positive,abstract,no,0,31
4,6,47,F,97.5,8135,positive,concrete,no,1,31
5,6,47,F,97.5,5347,negative,abstract,no,0,31
6,6,47,F,97.5,8618,negative,concrete,no,1,31
7,6,47,F,97.5,5823,positive,abstract,no,0,31
8,6,47,F,97.5,7516,positive,abstract,no,0,31
9,6,47,F,97.5,6636,positive,concrete,no,1,31
10,6,47,F,97.5,5146,positive,abstract,no,0,31
11,6,47,F,97.5,5531,negative,concrete,no,1,31
12,6,47,F,97.5,9231,negative,abstract,no,0,31
13,6,47,F,97.5,6775,negative,abstract,no,0,31
14,6,47,F,97.5,6899,positive,abstract,no,1,31
15,6,47,F,97.5,8264,negative,concrete,no,1,31
16,6,47,F,97.5,4762,positive,concrete,no,1,31
17,6,47,F,97.5,8662,negative,abstract,no,1,31
18,6,47,F,97.5,5649,positive,concrete,no,1,31
19,6,47,F,97.5,5914,positive,concrete,no,1,31
20,6,47,F,97.5,7946,negative,concrete,no,1,31
1,7,52,F,85,13360,negative,concrete,no,1,35
2,7,52,F,85,7840,positive,abstract,no,0,35
3,7,52,F,85,11800,positive,abstract,no,0,35
4,7,52,F,85,7820,positive,concrete,no,1,35
5,7,52,F,85,9447,positive,concrete,no,1,35
6,7,52,F,85,15751,positive,abstract,no,0,35
7,7,52,F,85,10905,positive,abstract,no,0,35
8,7,52,F,85,8092,negative,concrete,no,1,35
9,7,52,F,85,11349,negative,concrete,no,1,35
10,7,52,F,85,9640,negative,abstract,no,0,35
11,7,52,F,85,13250,positive,concrete,no,1,35
12,7,52,F,85,7438,positive,concrete,no,1,35
13,7,52,F,85,8129,negative,concrete,no,1,35
14,7,52,F,85,9746,positive,abstract,no,0,35
15,7,52,F,85,8068,negative,abstract,no,0,35
16,7,52,F,85,9153,negative,concrete,no,1,35
17,7,52,F,85,11050,positive,concrete,no,1,35
18,7,52,F,85,11146,negative,abstract,no,0,35
19,7,52,F,85,9215,negative,abstract,no,1,35
20,7,52,F,85,10322,negative,abstract,no,1,35
1,8,49,F,92.5,6527,negative,abstract,no,0,33
2,8,49,F,92.5,7264,positive,concrete,no,1,33
3,8,49,F,92.5,6952,negative,concrete,no,1,33
4,8,49,F,92.5,11479,positive,concrete,no,0,33
5,8,49,F,92.5,9576,negative,abstract,no,1,33
6,8,49,F,92.5,10752,positive,abstract,no,0,33
7,8,49,F,92.5,10312,positive,concrete,no,1,33
8,8,49,F,92.5,9071,positive,abstract,no,1,33
9,8,49,F,92.5,9575,negative,concrete,no,1,33
10,8,49,F,92.5,11191,positive,concrete,no,0,33
11,8,49,F,92.5,8104,positive,abstract,no,0,33
12,8,49,F,92.5,8880,negative,concrete,no,1,33
13,8,49,F,92.5,7487,negative,concrete,no,1,33
14,8,49,F,92.5,12153,positive,concrete,no,1,33
15,8,49,F,92.5,8632,negative,abstract,no,1,33
16,8,49,F,92.5,12208,positive,abstract,no,1,33
17,8,49,F,92.5,13800,negative,abstract,no,1,33
18,8,49,F,92.5,16087,negative,concrete,no,1,33
19,8,49,F,92.5,9904,positive,abstract,no,1,33
20,8,49,F,92.5,11176,negative,abstract,no,0,33
1,9,44,M,95,6221,positive,concrete,no,1,33
2,9,44,M,95,9009,negative,abstract,no,1,33
3,9,44,M,95,8045,negative,abstract,no,1,33
4,9,44,M,95,4885,negative,abstract,no,1,33
5,9,44,M,95,5779,positive,concrete,no,1,33
6,9,44,M,95,6369,negative,abstract,no,1,33
7,9,44,M,95,11022,positive,abstract,no,1,33
8,9,44,M,95,10302,positive,abstract,no,0,33
9,9,44,M,95,10294,negative,concrete,no,1,33
10,9,44,M,95,16511,positive,abstract,no,1,33
11,9,44,M,95,16399,positive,abstract,no,1,33
12,9,44,M,95,6590,positive,concrete,no,1,33
13,9,44,M,95,9870,positive,abstract,no,1,33
14,9,44,M,95,16078,positive,concrete,no,1,33
16,9,44,M,95,8069,positive,concrete,no,1,33
17,9,44,M,95,10269,negative,concrete,no,1,33
18,9,44,M,95,8717,negative,abstract,no,1,33
19,9,44,M,95,9936,negative,concrete,no,0,33
20,9,44,M,95,9277,negative,concrete,no,0,33
1,10,52,M,97.5,8384,negative,concrete,no,1,33
2,10,52,M,97.5,10586,negative,concrete,no,1,33
3,10,52,M,97.5,10410,positive,concrete,no,1,33
4,10,52,M,97.5,15574,positive,abstract,no,0,33
5,10,52,M,97.5,11720,negative,concrete,no,1,33
6,10,52,M,97.5,11749,negative,concrete,no,1,33
7,10,52,M,97.5,11873,positive,abstract,no,0,33
8,10,52,M,97.5,11107,negative,concrete,no,1,33
9,10,52,M,97.5,11342,negative,abstract,no,0,33
10,10,52,M,97.5,12598,positive,concrete,no,1,33
11,10,52,M,97.5,16913,positive,concrete,no,1,33
12,10,52,M,97.5,13813,negative,abstract,no,0,33
13,10,52,M,97.5,11704,positive,abstract,no,0,33
15,10,52,M,97.5,8592,positive,abstract,no,0,33
16,10,52,M,97.5,8625,positive,concrete,no,1,33
17,10,52,M,97.5,11055,positive,abstract,no,0,33
18,10,52,M,97.5,8651,negative,abstract,no,0,33
19,10,52,M,97.5,7602,negative,abstract,no,0,33
20,10,52,M,97.5,9250,positive,concrete,no,1,33
1,11,58,F,97.5,8716,negative,abstract,no,1,32
2,11,58,F,97.5,10247,negative,abstract,no,0,32
3,11,58,F,97.5,5595,positive,abstract,no,0,32
4,11,58,F,97.5,4246,negative,concrete,no,1,32
5,11,58,F,97.5,5883,positive,abstract,no,0,32
6,11,58,F,97.5,5153,positive,concrete,no,1,32
7,11,58,F,97.5,3308,negative,concrete,no,1,32
8,11,58,F,97.5,2503,negative,concrete,no,1,32
9,11,58,F,97.5,10326,negative,abstract,no,1,32
10,11,58,F,97.5,7845,negative,abstract,no,1,32
11,11,58,F,97.5,5590,negative,concrete,no,0,32
12,11,58,F,97.5,7784,positive,abstract,no,0,32
