subject,story_id,rating,condition
1,S11,1,B
1,S19,4,B
1,S01,0,C
1,S02,4,D
1,S13,4,C
1,S04,4,A
1,S08,3,A
1,S18,4,D
1,S10,4,D
1,S20,2,A
1,S12,3,A
1,S16,4,A
1,S03,0,B
1,S09,4,C
1,S17,3,C
1,S06,2,D
1,S15,1,B
1,S14,4,D
1,S05,2,C
1,S07,0,B
2,S06,1,C
2,S07,3,D
2,S17,2,A
2,S01,1,A
2,S16,2,B
2,S13,4,A
2,S04,0,B
2,S08,1,B
2,S14,3,C
2,S20,4,B
2,S18,4,C
2,S10,3,C
2,S19,4,D
2,S02,2,C
2,S11,4,D
2,S09,4,A
2,S12,0,B
2,S03,1,D
2,S05,3,A
2,S15,2,D
3,S12,2,C
3,S16,1,C
3,S19,1,A
3,S14,1,B
3,S10,4,B
3,S20,1,C
3,S05,4,D
3,S08,2,C
3,S04,3,C
3,S03,4,A
3,S07,4,A
3,S18,2,B
3,S15,3,A
3,S01,4,D
3,S06,0,B
3,S17,3,D
3,S11,3,A
3,S13,2,D
3,S09,4,D
3,S02,0,B
4,S02,2,A
4,S15,4,C
4,S14,3,A
4,S03,4,C
4,S01,1,B
4,S04,1,D
4,S16,3,D
4,S12,1,D
4,S07,1,C
4,S18,4,A
4,S19,4,C
4,S10,2,A
4,S06,1,A
4,S11,3,C
4,S05,2,B
4,S08,1,D
4,S13,1,B
4,S09,0,B
4,S20,2,D
4,S17,0,B
5,S08,1,B
5,S01,4,A
5,S06,1,C
5,S14,1,C
5,S05,0,A
5,S17,2,A
5,S12,0,B
5,S03,3,D
5,S18,2,C
5,S13,3,A
5,S16,1,B
5,S10,2,C
5,S15,3,D
5,S20,3,B
5,S07,4,D
5,S09,3,A
5,S04,0,B
5,S19,3,D
5,S02,0,C
5,S11,3,D
6,S14,3,C
6,S07,2,D
6,S17,3,A
6,S02,1,C
6,S01,4,A
6,S12,0,B
6,S09,2,A
6,S18,3,C
6,S08,0,B
6,S04,0,B
6,S06,0,C
6,S19,3,D
6,S10,1,C
6,S05,1,A
6,S03,4,D
6,S11,2,D
6,S13,3,A
6,S15,4,D
6,S20,3,B
6,S16,3,B
7,S03,1,A
7,S16,1,C
7,S01,1,D
7,S04,2,C
7,S17,1,D
7,S11,4,A
7,S18,1,B
7,S19,2,A
7,S14,1,B
7,S15,4,A
7,S07,3,A
7,S02,0,B
7,S05,0,D
7,S10,0,B
7,S06,0,B
7,S13,1,D
7,S20,3,C
7,S09,4,D
7,S08,0,C
7,S12,1,C
8,S18,2,A
8,S13,1,B
8,S06,0,A
8,S02,1,A
8,S04,2,D
8,S19,1,C
8,S05,2,B
8,S08,1,D
8,S17,1,B
8,S16,2,D
8,S10,2,A
8,S12,2,D
8,S20,3,D
8,S07,3,C
8,S14,2,A
8,S09,1,B
8,S11,1,C
8,S03,2,C
8,S01,1,B
8,S15,2,C
9,S08,1,B
9,S13,3,A
9,S07,4,D
9,S20,3,B
9,S11,3,D
9,S19,4,D
9,S01,3,A
9,S17,3,A
9,S06,1,C
9,S14,2,C
9,S16,1,B
9,S12,3,B
9,S04,0,B
9,S10,1,C
9,S03,3,D
9,S09,2,A
9,S05,1,A
9,S15,2,D
9,S18,2,C
9,S02,1,C
10,S09,2,A
10,S08,2,B
10,S16,3,B
10,S01,1,A
10,S05,2,A
10,S10,2,C
10,S13,3,A
10,S18,3,C
10,S04,1,B
10,S17,2,A
10,S07,2,D
10,S12,1,B
10,S20,3,B
10,S19,4,D
10,S15,1,D
10,S14,2,C
10,S02,2,C
10,S11,2,D
10,S03,3,D
10,S06,1,C
11,S07,2,A
11,S04,1,C
11,S17,4,D
11,S11,2,A
11,S06,1,B
11,S14,1,B
11,S08,1,C
11,S10,1,B
11,S19,4,A
11,S13,3,D
11,S15,4,A
11,S09,3,D
11,S12,2,C
11,S02,1,B
11,S16,2,C
11,S18,1,B
11,S01,2,D
11,S03,3,A
11,S20,2,C
11,S05,3,D
